DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_23770;REISE;1;5173,20;1167113
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24226;REISE;1;3457,36;1156941
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24345;REISE;1;3712,50;1135448
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24476;REISE;1;3246,89;1167301
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24511;REISE;1;972,00;1157884
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24516;REISE;1;990,00;1157884
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24518;REISE;1;1266,00;1157884
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24619;REISE;1;8265,86;1173521
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24621;REISE;1;1404,04;1173142
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24635;REISE;1;4594,07;1171452
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24675;REISE;1;38679,39;1149062
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24684;REISE;1;6924,65;1143954
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24685;REISE;1;1711,83;1168343
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24690;REISE;1;5420,31;1163808
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24747;REISE;1;3996,25;1171802
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24748;REISE;1;7901,36;1149062
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24774;REISE;1;5856,19;1167746
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24775;REISE;1;708,75;1157884
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24777;REISE;1;8914,82;1166729
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24779;REISE;1;5854,48;1166729
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24780;REISE;1;2561,00;1166729
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24813;REISE;1;829,14;1157726
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24841;REISE;1;603,14;1157726
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24882;REISE;1;3379,15;1159177
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24886;REISE;1;12926,06;1173173
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24937;REISE;1;2933,82;1165578
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24938;REISE;1;10762,42;1165578
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24940;REISE;1;271,00;1173142
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24944;REISE;1;3556,25;1170086
25.09.2018;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_24949;REISE;1;19154,33;1166866
