DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_6392;REISE;1;2783,72;1152791
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7099;REISE;1;404,70;1157893
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7100;REISE;1;229,60;1157893
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7122;REISE;1;3152,73;1152791
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7125;REISE;1;2355,46;1152791
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7166;REISE;1;227,27;1159803
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7339;REISE;1;2966,39;1157716
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7384;REISE;1;110,00;1152323
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7387;REISE;1;586,73;1152323
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7395;REISE;1;181,83;1152323
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7396;REISE;1;280,91;1152323
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7397;REISE;1;163,64;1152323
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7398;REISE;1;92,00;1152323
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7497;REISE;1;7604,27;1159803
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7550;REISE;1;6439,09;1146704
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7551;REISE;1;6247,27;1146704
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7554;REISE;1;6267,27;1146704
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7610;REISE;1;5939,82;1158490
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7714;REISE;1;6367,28;1146704
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7715;REISE;1;2004,00;1146704
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7738;REISE;1;611,82;1161972
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7741;REISE;1;4235,91;1159803
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7754;REISE;1;4900,00;1159803
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7755;REISE;1;7242,50;1159803
05.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7756;REISE;1;538,18;1159803
