DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_6662;REISE;1;9036,97;1152432
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_6666;REISE;1;6757,60;1152432
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7625;REISE;1;2950,63;1130480
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7627;REISE;1;2695,17;1130480
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7841;REISE;1;4499,25;1163009
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7981;REISE;1;2153,55;1162688
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7991;REISE;1;1000,28;1163561
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8107;REISE;1;5260,81;1136734
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8110;REISE;1;50110,78;1163828
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8118;REISE;1;41755,75;1163828
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8122;REISE;1;4443,55;1146704
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8123;REISE;1;1705,73;1163561
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8137;REISE;1;725,00;1131167
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8138;REISE;1;725,00;1131167
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8148;REISE;1;5045,00;1139505
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8194;REISE;1;3102,72;1135448
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8203;REISE;1;592,80;GL-A394
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8205;REISE;1;2968,09;1135448
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8210;REISE;1;2871,82;1154162
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8222;REISE;1;1290,00;1158087
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8231;REISE;1;3887,50;1158087
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8276;REISE;1;1517,73;1161257
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8283;REISE;1;5430,82;1162565
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8285;REISE;1;594,45;1162565
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8306;REISE;1;1353,27;1161503
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8312;REISE;1;3086,46;1160415
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8314;REISE;1;5485,91;1162058
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8357;REISE;1;919,18;1157709
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8359;REISE;1;919,18;1157709
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8360;REISE;1;919,18;1157709
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8383;REISE;1;6801,81;1163380
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8388;REISE;1;17047,95;1162667
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8390;REISE;1;5510,15;GL-A098
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8395;REISE;1;1701,46;1153876
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8399;REISE;1;1519,18;1153876
07.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8406;REISE;1;2350,91;1140774
