DATE;RESOURCE;DESCRIPTION;TASK;QUANTITY;AMOUNT;PROJECT
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7182;REISE;1;839,27;1139505
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7318;REISE;1;2400,44;10
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7558;REISE;1;10431,16;1152323
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7624;REISE;1;2996,08;1130480
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_7773;REISE;1;1208,36;1161496
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8025;REISE;1;1156,50;GL-A098
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8159;REISE;1;4347,10;1152323
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8186;REISE;1;327,00;1155066
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8257;REISE;1;1473,82;1158087
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8298;REISE;1;4438,28;1146704
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8301;REISE;1;4701,91;1146704
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8330;REISE;1;956,80;10
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8400;REISE;1;1413,27;1161503
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8441;REISE;1;6998,22;1148982
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8442;REISE;1;3728,00;1148982
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8445;REISE;1;1251,82;1148982
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8451;REISE;1;900,00;1143732
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8469;REISE;1;387,36;1157890
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8488;REISE;1;1530,00;1103454
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8489;REISE;1;1530,00;1103454
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8496;REISE;1;6281,91;1135448
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8500;REISE;1;9010,64;1142445
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8503;REISE;1;919,18;1157709
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8507;REISE;1;788,18;1161165
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8552;REISE;1;5390,63;1158490
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8557;REISE;1;843,55;GL-A394
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8558;REISE;1;3750,00;1146704
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8560;REISE;1;4397,91;1158490
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8564;REISE;1;2144,36;1148982
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8572;REISE;1;4456,46;1146704
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8573;REISE;1;881,00;1161253
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8574;REISE;1;669,50;1161253
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8584;REISE;1;21338,00;1159803
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8592;REISE;1;3392,73;1158490
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8613;REISE;1;908,50;1158087
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8614;REISE;1;908,50;1158087
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8615;REISE;1;908,50;1158087
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8616;REISE;1;908,50;1158087
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8625;REISE;1;782,50;1152973
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8630;REISE;1;2872,63;1146704
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8631;REISE;1;2752,64;1146704
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8635;REISE;1;9688,62;1147338
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8640;REISE;1;1811,73;1159177
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8647;REISE;1;8039,50;1159803
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8665;REISE;1;6751,73;1158490
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8669;REISE;1;2927,50;1158490
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8700;REISE;1;387,36;1157890
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8707;REISE;1;763,63;1162565
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8734;REISE;1;4095,36;1146704
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8753;REISE;1;7326,37;1155066
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8779;REISE;1;7818,37;1147430
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8784;REISE;1;92,73;1153386
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8808;REISE;1;10386,55;1164173
25.04.2017;REISEUTGIFTER;Reiseutgifter ihht vedlegg 10_8809;REISE;1;51796,55;1164173
